femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastRefresh,hash,id,Duration_of_Incident,Declared_Programs_Count,Time Since Last Disaster
DR-340-PA,-0.8118134793277413,PA,DR,1972-06-23 00:00:00+00:00,-1.0768707424871984,TROPICAL STORM AGNES,-0.24985132321016273,0.8042087111266986,0.2702932606585039,-0.6328271639521621,1972-06-23 00:00:00+00:00,1972-06-23 00:00:00+00:00,-0.028984492614110943,0.606665156659732,-0.578827422020556,0.15534167127364454,Columbia (County),0.37804880790333373,2023-05-22T03:41:22.800Z,fcdba740d2221894655eea773c3093847f05c8cf,10dfbd91-0633-413b-93b7-9da336ff4280,0,2,0.0
DR-1218-SD,-0.24881563212968666,SD,DR,1998-06-01 00:00:00+00:00,0.3502744131081692,"FLOODING, SEVERE STORMS, TORNADOES",-0.24985132321016273,0.8042087111266986,0.2702932606585039,-0.6328271639521621,1998-04-25 00:00:00+00:00,1998-06-22 00:00:00+00:00,-0.028984492614110943,0.8536034686117331,0.3314137399456493,0.16155553724981114,Spink (County),1.1842229211881097,2023-05-22T03:41:22.800Z,901fb36e540fbc81ee4f0ee3c2b2cb3fce170dfc,ecdae88a-9b96-4abc-b0da-1e185ca34f68,58,2,0.0
DR-4427-TN,1.808883788893727,TN,DR,2019-04-17 00:00:00+00:00,1.5029685772428893,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",-0.24985132321016273,-1.2434583040004594,0.2702932606585039,1.5802102958962014,2019-02-19 00:00:00+00:00,2019-03-30 00:00:00+00:00,-0.028984492614110943,0.9153380465997334,1.0315992491504227,0.16633543415455468,Van Buren (County),-1.2657663747108285,2023-05-22T03:41:22.800Z,7160cf98c713f9e9f132a9b6b7cc54ead248d7c7,a9cb9147-c271-4f43-b06b-0912395d2377,39,2,0.0
DR-679-LA,-0.5944373173685835,LA,DR,1983-04-20 00:00:00+00:00,-0.4730785612737737,SEVERE STORMS AND FLOODING,-0.24985132321016273,0.8042087111266986,0.2702932606585039,-0.6328271639521621,1983-04-20 00:00:00+00:00,1983-04-20 00:00:00+00:00,-0.028984492614110943,-0.6280264031002734,-0.27541370136515425,0.15741295993236676,Livingston (Parish),0.7186979832907018,2023-05-22T03:41:22.800Z,381829f5583ea93bb14bc5eb9ae27c9f420e25fd,d541280a-87a2-45c1-b996-40dc7860c293,0,2,0.0
DR-893-KY,-0.4572146074592627,KY,DR,1991-01-29 00:00:00+00:00,-0.03395697493673746,SEVERE STORMS & FLOODING,-0.24985132321016273,-1.2434583040004594,0.2702932606585039,-0.6328271639521621,1990-12-06 00:00:00+00:00,1991-02-02 00:00:00+00:00,-0.028984492614110943,-0.6897609810882737,1.2416549019118546,0.16776940322597775,Perry (County),0.9661553657026031,2023-05-22T03:41:22.800Z,8080e9572cb17f155e53c8eeeb343fab45abfeaf,9cf4c7fc-ea05-4ce7-92e4-43b6e432d98f,58,1,0.0
DR-1900-MN,0.18850160225422363,MN,DR,2010-04-19 00:00:00+00:00,1.0089567926137235,FLOODING,-0.24985132321016273,-1.2434583040004594,0.2702932606585039,1.5802102958962014,2010-03-01 00:00:00+00:00,2010-04-26 00:00:00+00:00,-0.028984492614110943,-0.319353513160272,0.47145084178660396,0.16251151663075986,Redwood (County),-1.5442876881145522,2023-05-22T03:41:22.800Z,4e322bf706ef0463152ddb1f4b2a6af3ddd17b30,6541126a-db40-41b9-808a-b133eb2d3168,56,2,0.0
DR-4013-NE,1.5434155557046672,NE,DR,2011-08-12 00:00:00+00:00,1.063846990905853,FLOODING,4.002380244185654,-1.2434583040004594,0.2702932606585039,1.5802102958962014,2011-05-24 00:00:00+00:00,2011-08-01 00:00:00+00:00,-0.028984492614110943,-0.07241520120827094,1.0549387661239151,0.16649476405137947,Washington (County),-1.5090074950320236,2023-05-22T03:41:22.800Z,267c5efe1b868e5b73b01dfb61c4e14fcaeed087,8ae94441-8986-44ef-8aa8-e56107b6c122,69,3,55.0
DR-4384-WA,1.7813110013885831,WA,DR,2018-08-17 00:00:00+00:00,1.4480783789507599,FLOODING,-0.24985132321016273,-1.2434583040004594,0.2702932606585039,1.5802102958962014,2018-05-05 00:00:00+00:00,2018-05-28 00:00:00+00:00,34.501207708330064,1.285745514527735,-1.0106084860301663,-6.60000695925199,Colville Indian Reservation,-1.2948151804387102,2023-05-22T03:41:22.800Z,022b7acd0a5aeded3557f1af8829ad68e8f8876a,cc7e8346-c843-4635-9ba1-6cbc66bea618,23,2,483.0
DR-680-UT,-0.5937960897521848,UT,DR,1983-04-30 00:00:00+00:00,-0.4730785612737737,"SEVERE STORMS, LANDSLIDES & FLOODING",-0.24985132321016273,-1.2434583040004594,0.2702932606585039,-0.6328271639521621,1983-04-13 00:00:00+00:00,1983-04-13 00:00:00+00:00,-0.028984492614110943,1.0388072025757338,-0.9055806596494503,0.15311105271809755,Daggett (County),0.7187599871449768,2023-05-22T03:41:22.800Z,7b1a86766a64e9c3145a4b967afb6657d6fd1c12,620512a3-007f-402a-a507-cc83d7aebb3f,0,1,0.0
DR-438-IL,-0.7489731729206691,IL,DR,1974-06-10 00:00:00+00:00,-0.9670903459029394,SEVERE STORMS & FLOODING,-0.24985132321016273,0.8042087111266986,0.2702932606585039,-0.6328271639521621,1974-06-10 00:00:00+00:00,1974-06-10 00:00:00+00:00,-0.028984492614110943,-0.9366992930402747,0.7281855284950208,0.1642641454958325,Pike (County),0.4406416987940414,2023-05-22T03:41:22.800Z,8499e029518794bfd29474d89a67ffd4ee369732,994b8688-2391-4ccd-bc13-b14706c1151e,0,2,0.0
DR-1984-SD,0.24236472203171402,SD,DR,2011-05-13 00:00:00+00:00,1.063846990905853,FLOODING,-0.24985132321016273,-1.2434583040004594,0.2702932606585039,1.5802102958962014,2011-03-11 00:00:00+00:00,2011-07-22 00:00:00+00:00,-0.028984492614110943,0.8536034686117331,0.3780927738926342,0.16187419704346073,Sully (County),-1.5109296145145514,2023-05-22T03:41:22.800Z,13821c8946a0e21370a818030cc167c6afed78f7,7b4f02f4-8357-47d0-b0d9-c9016995d46d,133,2,0.0
DR-496-WI,-0.7117819711695448,WI,DR,1976-03-23 00:00:00+00:00,-0.8573099493186803,"SEVERE STORMS, ICING, WIND & FLOODING",-0.24985132321016273,0.8042087111266986,0.2702932606585039,-0.6328271639521621,1976-03-23 00:00:00+00:00,1976-03-23 00:00:00+00:00,-0.028984492614110943,1.4092146705037354,0.21471615507818706,0.16075888776568723,Rock (County),0.5020255145263848,2023-05-22T03:41:22.800Z,5bd0bff40dbb21b16c0cfe095556c4dd9fedf108,e882433f-0447-48d2-860e-093f5251cdb3,0,2,0.0
DR-253-CA,-0.8676002819544277,CA,DR,1969-01-26 00:00:00+00:00,-1.241541337363587,SEVERE STORMS & FLOODING,-0.24985132321016273,0.8042087111266986,0.2702932606585039,-0.6328271639521621,1969-01-26 00:00:00+00:00,1969-01-26 00:00:00+00:00,-0.028984492614110943,-1.6157796509082776,0.23805567205167952,0.16091821766251202,Tulare (County),0.28442298794794135,2023-05-22T03:41:22.800Z,a57a81d551be348bcf47396f7fa02b68478bf959,68a12a48-3dd2-4db2-bc43-f2f2f04a0e81,0,2,0.0
DR-1000-KS,-0.38860325250460226,KS,DR,1993-07-22 00:00:00+00:00,0.0758234216475216,SEVERE STORMS & FLOODING,-0.24985132321016273,0.8042087111266986,0.2702932606585039,-0.6328271639521621,1993-06-28 00:00:00+00:00,1993-10-05 00:00:00+00:00,-0.028984492614110943,-0.7514955590762739,-0.01867901465673738,0.1591655887974394,Jackson (County),1.0290582758646862,2023-05-22T03:41:22.800Z,49c5ca431f570c1d860dbc45de2c099efc96ec30,eeb15b68-1925-4a80-9e6b-8197af65e8f0,99,2,0.0
DR-398-TX,-0.774622277576617,TX,DR,1973-07-11 00:00:00+00:00,-1.021980544195069,SEVERE STORMS & FLOODING,-0.24985132321016273,0.8042087111266986,0.2702932606585039,-0.6328271639521621,1973-07-11 00:00:00+00:00,1973-07-11 00:00:00+00:00,-0.028984492614110943,0.9770726245877336,1.3350129698058244,0.1684067228132769,Harris (County),0.40985678514645707,2023-05-22T03:41:22.800Z,4988e71d475f0ee608ab642595a6fddef9d58efc,ebc63865-6292-495e-8bce-60ed4efc7ac4,0,2,0.0
DR-407-MO,-0.7688512290290287,MO,DR,1973-11-01 00:00:00+00:00,-0.9670903459029394,SEVERE STORMS & FLOODING,-0.24985132321016273,0.8042087111266986,0.2702932606585039,-0.6328271639521621,1973-11-01 00:00:00+00:00,1973-11-01 00:00:00+00:00,-0.028984492614110943,-0.19588435718427147,0.004660502316755064,0.15932491869426416,Holt (County),0.4111588660862341,2023-05-22T03:41:22.800Z,f0dfecf585072909a6716ff8b740b6280d6ac6c2,4e69cd6f-65f2-4add-8021-2dcf7272e1a3,0,2,0.0
DR-893-KY,-0.4572146074592627,KY,DR,1991-01-29 00:00:00+00:00,-0.03395697493673746,SEVERE STORMS & FLOODING,-0.24985132321016273,-1.2434583040004594,0.2702932606585039,-0.6328271639521621,1990-12-06 00:00:00+00:00,1991-02-02 00:00:00+00:00,-0.028984492614110943,-0.6897609810882737,1.5917476565142414,0.17015935167834953,Trimble (County),0.9661553657026031,2023-05-22T03:41:22.800Z,67ea679efdcc5dc5d37530dc970fac2e8929a855,dc6cba14-4008-423a-8c6f-10a731599b74,58,1,0.0
DR-1370-MN,-0.15134903443708494,MN,DR,2001-05-16 00:00:00+00:00,0.5149450079845578,"SEVERE WINTER STORMS, FLOODING, AND TORNADOES",-0.24985132321016273,0.8042087111266986,0.2702932606585039,-0.6328271639521621,2001-03-23 00:00:00+00:00,2001-07-03 00:00:00+00:00,-0.028984492614110943,-0.319353513160272,-0.25207418439166185,0.15757228982919153,Kanabec (County),-1.822653991882588,2023-05-22T03:41:22.800Z,a7ba3e2fc585257688cfabeeefadbe02aeb77365,843ae065-a8cb-4742-864f-750a5d919635,102,2,0.0
DR-443-IA,-0.7457670348386756,IA,DR,1974-06-24 00:00:00+00:00,-0.9670903459029394,SEVERE STORMS & FLOODING,-0.24985132321016273,0.8042087111266986,0.2702932606585039,-0.6328271639521621,1974-06-24 00:00:00+00:00,1974-06-24 00:00:00+00:00,-0.028984492614110943,-0.8132301370642742,-0.3687717692591241,0.1567756403450676,Delaware (County),0.4407967084297291,2023-05-22T03:41:22.800Z,7972f1a69cf4b4613b5fddbea90b2273756157c0,4f93815c-a60d-4371-a5e1-b5b005963514,0,2,0.0
DR-4463-SD,1.83196798308408,SD,DR,2019-09-23 00:00:00+00:00,1.5029685772428893,SEVERE STORMS AND FLOODING,-0.24985132321016273,-1.2434583040004594,0.2702932606585039,1.5802102958962014,2019-05-21 00:00:00+00:00,2019-06-07 00:00:00+00:00,-0.028984492614110943,0.8536034686117331,0.40143229086612664,0.1620335269402855,Todd (County),-1.2636582436654753,2023-05-22T03:41:22.800Z,52f5c843584f9e63e68f64a5b247763ea8f77ee5,4ff530d1-f48d-4d01-ab9d-c3c890a46a62,17,2,0.0
DR-693-OK,-0.5854601307390017,OK,DR,1983-10-26 00:00:00+00:00,-0.41818836298164414,SEVERE STORMS & FLOODING,-0.24985132321016273,-1.2434583040004594,0.2702932606585039,-0.6328271639521621,1983-10-19 00:00:00+00:00,1983-10-23 00:00:00+00:00,-0.028984492614110943,0.4831960006837315,-0.25207418439166185,0.15757228982919153,Jackson (County),0.749079871885498,2023-05-22T03:41:22.800Z,1bca656a0aff1ad0f990944ad451dc4222ea8d73,da159dec-f0db-4ef0-88a5-214c2b45269e,4,1,0.0
EM-3374-MO,1.1336711088259006,MO,EM,2016-01-02 00:00:00+00:00,1.3382979823665007,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",-0.24985132321016273,-1.2434583040004594,0.2702932606585039,-0.6328271639521621,2015-12-22 00:00:00+00:00,2016-01-09 00:00:00+00:00,-0.028984492614110943,-0.19588435718427147,0.6581669775745436,0.16378615580535813,New Madrid (County),-1.3591441792491206,2023-05-22T03:41:22.800Z,42da0c66f6eed76c81ffc4ff8e27e0d18a9b0056,48be95aa-daec-4ba0-a321-bf40dfc3b577,18,1,0.0
DR-983-NE,-0.3995041219833801,NE,DR,1993-04-02 00:00:00+00:00,0.0758234216475216,ICE JAMS & FLOODING,-0.24985132321016273,-1.2434583040004594,0.2702932606585039,-0.6328271639521621,1993-03-07 00:00:00+00:00,1993-03-21 00:00:00+00:00,-0.028984492614110943,-0.07241520120827094,0.7982040794154982,0.16474213518630684,Saunders (County),1.0291202797189614,2023-05-22T03:41:22.800Z,ca66759caa18e966be9719e7c1bbdf00dd714fed,c6d6e7a1-8e2d-4445-929e-d203c41cf21f,14,1,0.0
DR-1368-IL,-0.15263148966988235,IL,DR,2001-05-09 00:00:00+00:00,0.5149450079845578,FLOODING,-0.24985132321016273,0.8042087111266986,0.2702932606585039,1.5802102958962014,2001-04-18 00:00:00+00:00,2001-05-29 00:00:00+00:00,-0.028984492614110943,-0.9366992930402747,1.264994418885347,0.16792873312280254,Whiteside (County),-1.8228400034454133,2023-05-22T03:41:22.800Z,1fcf0452f5efe0691c6d3ab65dc2e3779236223b,d3a0f6f2-47bc-4eaa-989c-778030c51ca6,41,3,0.0
